F24D1/00	蒸気中央暖房方式（Ｆ２４Ｄ１０／００，Ｆ２４Ｄ１１／００が優先）
F24D19/0259	
F24D19/0263	
F24D19/0273	
F24D19/0276	
F24D19/0279	
F24D19/0283	
F24D19/0286	
F24D19/0289	
F24D19/0293	
F24D19/04	スカート内におけるもの
F24D19/06	放熱器のためのケーシング，おおい，蓋または装飾パネル
F24D19/061	｛ラジエータの棚｝
F24D19/062	｛熱反射遮蔽材または断熱遮蔽材｝
F24D19/064	
F24D19/065	
F24D19/067	
F24D19/068	
F24D19/08	排水，排気または吸気するための装置（排水用弁Ｆ１６Ｋ，例．Ｆ１６Ｋ２１／００；排気または吸気のためのものＦ１６Ｋ２４／００）
F24D19/081	｛蒸気暖房方式のためのもの｝
F24D19/082	｛温水方式のためのもの｝
F24D19/083	｛通気装置｝
F24D19/085	｛中央暖房ラジエータのための通気弁の配置｝
F24D19/086	｛手動のもの｝
F24D19/087	｛自動のもの｝
F24D19/088	｛排水装置｝
F24D19/10	制御または安全装置の配置または取付け（制御弁Ｆ１６Ｋ；単にその加熱器が制御されているものＦ２４Ｈ９／２０）
F24D19/1003	｛蒸気暖房方式のためのもの｝
F24D19/1006	｛温水方式のためのもの｝
F24D19/1009	｛中央暖房のためのもの｝
F24D19/1012	｛ポンプの速度を調節することによるもの｝
F24D19/1015	｛弁を１つまたは複数使用するもの｝
F24D19/1018	
F24D19/1021	｛バイパス弁｝
F24D19/1024	｛多用途弁｝
F24D19/1027	｛手動のもの｝
F24D19/103	｛バイメタル作動のもの｝
F24D19/1033	｛電動機作動のもの｝
F24D19/1036	
F24D19/1039	｛方式がヒートポンプを使用するもの｝
F24D19/1042	｛方式が太陽エネルギーを使用するもの｝
F24D19/1045	｛方式がヒートポンプと太陽エネルギを使用するもの｝
F24D19/1048	｛エネルギ消費を計数するもの｝
F24D19/1051	｛家庭用熱水のためのもの｝
F24D19/1054	｛方式がヒートポンプを使用するもの｝
F24D19/1057	｛方式が太陽エネルギを使用するもの｝
F24D19/106	｛方式がヒートポンプと太陽エネルギを使用するもの｝
F24D19/1063	｛エネルギ消費を計数するもの｝
F24D19/1066	｛中央暖房と家庭用熱水の結合のためのもの｝
F24D19/1069	｛家庭用熱水の温度の関数での調節｝
F24D19/1072	｛方式がヒートポンプを使用するもの｝
F24D19/1075	｛方式が太陽エネルギーを使用するもの｝
F24D19/1078	｛方式がヒートポンプと太陽エネルギーを使用するもの｝
F24D19/1081	｛エネルギー消費を計数するもの｝
F24D19/1084	｛空気加熱方式のためのもの｝
F24D19/1087	｛方式がヒートポンプを使用するもの｝
F24D19/109	｛方式が太陽エネルギーを使用するもの｝
F24D19/1093	｛方式がヒートポンプと太陽エネルギーを使用するもの｝
F24D19/1096	｛電気暖房方式のためのもの｝
F24D2101/00	
F24D2101/10	
F24D2101/20	
F24D2101/30	
F24D2101/40	
F24D2101/50	
F24D2101/60	
F24D2101/70	
F24D2101/80	
F24D2103/00	
F24D2103/10	
F24D2103/13	
F24D2103/17	
F24D2103/20	
F24D2105/00	
F24D2105/10	
F24D2200/00	中央暖房取り付けのための熱源
F24D2200/02	
F24D2200/04	ガスまたは油だきのボイラ
F24D2200/043	２つ以上のガスまたは油だきのボイラ
F24D2200/046	
F24D2200/06	固体燃料だきのボイラ
F24D2200/062	
F24D2200/065	
F24D2200/067	
F24D2200/07	
F24D2200/08	電気ヒータ
F24D2200/10	暖炉
F24D2200/11	
F24D2200/115	
F24D2200/12	熱ポンプ
F24D2200/123	
F24D2200/126	
F24D2200/13	
F24D2200/14	太陽エネルギー
F24D2200/15	風力エネルギー
F24D2200/16	廃熱
F24D2200/18	煙道ガス回収
F24D2200/19	
F24D2200/20	下水
F24D2200/22	換気空気
F24D2200/24	冷凍
F24D2200/26	内燃機関
F24D2200/28	生物学的プロセス
F24D2200/29	
F24D2200/30	摩擦
F24D2200/31	
F24D2200/32	
F24D2220/00	
F24D2220/003	
F24D2220/006	
F24D2220/02	
F24D2220/0207	
F24D2220/0214	
F24D2220/0221	
F24D2220/0228	
F24D2220/0235	
F24D2220/0242	
F24D2220/025	
F24D2220/0257	
F24D2220/0264	
F24D2220/0271	
F24D2220/0278	
F24D2220/0285	
F24D2220/0292	
F24D2220/04	
F24D2220/042	
F24D2220/044	
F24D2220/046	
F24D2220/048	
F24D2220/06	
F24D2220/07	
F24D2220/08	
F24D2220/10	
F24D2220/20	
F24D2220/2009	
F24D2220/2018	
F24D2220/2027	
F24D2220/2036	
F24D2220/2045	
F24D2220/2054	
F24D2220/2063	
F24D2220/2072	
F24D2220/2081	
F24D2220/209	
F24D2240/00	
F24D2240/10	
F24D2240/12	
F24D2240/20	
F24D2240/22	
F24D2240/24	
F24D2240/243	
F24D2240/246	
F24D2240/26	
F24D2240/28	
F24D2240/30	
F24D2240/32	
