C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C4/04	熱的プロセス　｛Ｃ０７Ｃ４／０２５　が優先｝　
C07C4/06	接触的プロセス　｛Ｃ０７Ｃ４／０２５　が優先｝　
C07C4/08	分子から脂肪族部分または環式脂肪族部分を離脱させることによるもの
C07C4/10	非環式炭化水素から
C07C4/12	６員芳香環を含有する炭化水素から，例．プロピルトルエンからビニルトルエン
C07C4/14	芳香族―脂肪族結合における開裂
C07C4/16	熱的プロセス
C07C4/18	接触的プロセス
C07C4/20	反応系中で水素が生成するもの，例．水蒸気から
C07C4/22	解重合によってもとの単量体を製造するもの，例．ジシクロペンタジエンからシクロペンタジエン
C07C4/24	脂肪族―脂肪族結合における多芳香族基置換脂肪族化合物の開裂によるもの，例．１，４―ジフェニルブタンからスチレン
C07C4/26	縮合してない６員芳香環相互の結合における多芳香環式化合物の開裂によるもの，例．ビフェニルからベンゼン
C07C5/00	同数の炭素原子を含有する炭化水素からの炭化水素の製造
C07C5/02	水素添加によるもの（水素添加と同時に脱水素が生起するものＣ０７Ｃ５／５２）
C07C5/03	非芳香族炭素―炭素二重結合の
C07C5/05	部分水添
C07C5/08	炭素―炭素三重結合の
C07C5/09	炭素―炭素二重結合へ
C07C5/10	６員芳香環の
C07C5/11	部分水添
C07C5/13	異性化を同時に伴なうもの
C07C5/22	異性化によるもの（水素添加を同時に伴なうものＣ０７Ｃ５／１３；脱水素を同時に伴なうものＣ０７Ｃ５／３７３）
C07C5/2206	｛Ｃ０７Ｃ５／２３からＣ０７Ｃ５／３１に含まれない接触プロセス｝
C07C5/2213	｛金属酸化物によるもの｝
C07C5/222	｛結晶性アルミノけい酸塩によるもの，例．分子ふるい｝
C07C5/2226	｛無機酸によるもの；塩または酸無水物によるもの｝
C07C5/2233	｛硫黄の酸；その塩；硫黄酸化物｝
C07C5/224	｛りんの酸；その塩；りん酸化物｝
C07C5/2246	｛ハロゲンの酸；その塩｝
C07C5/2253	｛金属ハロゲン化物；有機化合物とその錯体｝
C07C5/226	｛金属によるもの｝
C07C5/2266	｛水素化物または有機化合物によるもの（Ｃ０７Ｃ５／２２４６が優先）｝
C07C5/2273	｛イオン交換樹脂によるもの｝
C07C5/228	｛金属ー炭素結合を含有するもの；金属水素化物｝
C07C5/2286	｛錯体，例．アセチルアセトネート，を含有するもの（ハロゲンの酸の塩の錯体Ｃ０７Ｃ５／２２４６）｝
C07C5/2293	｛ホスフィン，アルシン，スチビンまたはビスマシンを含有するもの｝
C07C5/23	炭素―炭素不飽和結合の転位
C07C5/25	炭素―炭素二重結合の移動
C07C5/2506	｛接触的プロセス｝
C07C5/2512	｛金属酸化物によるもの｝
C07C5/2518	｛結晶性アルミノけい酸塩によるもの，例．分子ふるい｝
C07C5/2525	｛無機酸によるもの；塩または酸無水物によるもの｝
C07C5/2531	｛硫黄の酸；その塩；硫黄酸化物｝
C07C5/2537	｛りんの酸；その塩；りん酸化物｝
C07C5/2543	｛ハロゲンの酸；その塩｝
C07C5/255	｛金属ハロゲン化物；有機化合物とその錯体｝
C07C5/2556	｛金属によるもの｝
C07C5/2562	｛水素化物または有機化合物によるもの（Ｃ０７Ｃ５／２５４３が優先）｝
C07C5/2568	｛イオン交換樹脂によるもの｝
C07C5/2575	｛金属ー炭素結合を含有するもの；金属水素化物｝
C07C5/2581	｛錯体，例．アセチルアセトネート，を含有するもの（ハロゲンの酸の塩の錯体Ｃ０７Ｃ５／２５４３）｝
C07C5/2587	｛金属−炭化水素錯体｝
C07C5/2593	｛ホスフィン，アルシン，スチビンまたはビスマシンを含有するもの｝
C07C5/27	炭化水素骨格における炭素原子の転位
C07C5/2702	｛Ｃ０７Ｃ５／２７３２　から　Ｃ０７Ｃ５／３１に含まれない接触プロセス；Ｃ０７Ｃ５／２７３２　および　Ｃ０７Ｃ５／２７７　に同時に包含される接触プロセス｝
C07C5/2705	｛金属酸化物によるもの｝
C07C5/2708	｛結晶性アルミノけい酸塩によるもの，例．分子ふるい｝
C07C5/271	｛無機酸によるもの；塩または酸無水物によるもの｝
C07C5/2713	｛硫黄の酸；その塩；硫黄酸化物｝
C07C5/2716	｛りんの酸；その塩；りん酸化物｝
C07C5/2718	｛ハロゲンの酸；その塩；その有機化合物との錯体｝
C07C5/2721	｛金属ハロゲン化物；有機化合物とその錯体｝
C07C5/2724	｛金属によるもの｝
C07C5/2727	｛水素化物または有機化合物によるもの（Ｃ０７Ｃ５／２７１８が優先）｝
C07C5/2729	｛開放鎖の分岐部または環の置換位置を変更するもの｝
C07C5/2732	｛接触的プロセス｝
C07C5/2735	｛金属酸化物によるもの｝
C07C5/2737	｛結晶性アルミノけい酸塩によるもの，例．分子ふるい｝
C07C5/274	｛無機酸によるもの；塩または酸無水物によるもの｝
C07C5/2743	｛硫黄の酸；その塩；硫黄酸化物｝
C07C5/2745	｛りんの酸；その塩；りん酸化物｝
C07C5/2748	｛ハロゲンの酸；その塩｝
C07C5/2751	｛金属ハロゲン化物；有機化合物とその錯体｝
C07C5/2754	｛金属によるもの｝
C07C5/2756	｛水素化物または有機化合物によるもの（Ｃ０７Ｃ５／２７４８が優先）｝
C07C5/2759	｛金属ー炭素結合を含有するもの；金属水素化物｝
C07C5/2762	｛錯体，例．アセチルアセトネート，を含有するもの（ハロゲンの酸の塩の錯体Ｃ０７Ｃ５／２７４８）｝
C07C5/2764	｛金属−炭化水素錯体｝
C07C5/2767	｛側鎖の数を変更するもの｝
C07C5/277	｛接触的プロセス｝
C07C5/2772	｛金属酸化物によるもの｝
C07C5/2775	｛結晶性アルミノけい酸塩によるもの，例．分子ふるい｝
C07C5/2778	｛無機酸によるもの；塩または酸無水物によるもの｝
C07C5/2781	｛硫黄の酸；その塩；硫黄酸化物｝
C07C5/2783	｛りんの酸；その塩；りん酸化物｝
C07C5/2786	｛ハロゲンの酸；その塩｝
C07C5/2789	｛金属ハロゲン化物；有機化合物とその錯体｝
C07C5/2791	｛金属によるもの｝
C07C5/2794	｛水素化物または有機化合物によるもの（Ｃ０７Ｃ５／２７８６が優先）｝
C07C5/2797	｛イオン交換樹脂によるもの｝
C07C5/29	環数は変化しないで環構成炭素原子数が変化するもの
C07C5/31	環数が変化するもの
C07C5/32	遊離水素の形成による脱水素によるもの
C07C5/321	｛接触プロセス｝
C07C5/322	｛金属酸化物または金属硫化物によるもの｝
C07C5/324	｛金属によるもの｝
C07C5/325	｛白金族の｝
C07C5/327	非芳香族炭素―炭素二重結合のみの生成
C07C5/333	接触的プロセス
C07C5/3332	｛金属酸化物または金属硫化物によるもの｝
C07C5/3335	｛金属によるもの｝
C07C5/3337	｛白金族の｝
C07C5/35	炭素―炭素三重結合のみの生成
C07C5/367	６員環から６員芳香環の生成，例．エチルシクロヘキサンの脱水素によるエチルベンゼンの製造
C07C5/373	異性化を同時に伴なうもの
C07C5/387	６員環以外の環状化合物から６員芳香環を含有する化合物への
C07C5/393	６員芳香環への環化を伴なうもの，例．ｎ―ヘキサンの脱水素によるベンゼンの製造
C07C5/41	接触的プロセス
C07C5/412	｛金属酸化物または金属硫化物によるもの｝
C07C5/415	｛金属によるもの｝
C07C5/417	｛白金族の｝
C07C5/42	水素受容体による脱水素によるもの．<br><br><u>注</u><br><br>１．触媒の還元が同時に起こる場合，その触媒は受容体系統の一部を形成しているものとみなす。．２．受容体系統のその場での形成または還元受容体系統のその場での再生の場合，受容体系統はその供給物質に従って分類される。．３．還元受容体系統を結合するために添加される化合物は，受容体系統に属するものと見なさない。
C07C5/44	ハロゲンまたはハロゲン含有化合物を受容体として用いるもの
C07C5/46	硫黄または硫黄含有化合物を受容体として用いるもの
C07C5/48	酸素を受容体として用いるもの
C07C5/50	有機化合物を受容体として用いるもの
C07C5/52	炭化水素を受容体として用いるもの，例．炭化水素の不均化，すなわち２ＣｎＨｐ→ＣｎＨｐ＋ｑ＋ＣｎＨｐ−ｑ
C07C5/54	Ｃ０７Ｃ５／４４からＣ０７Ｃ５／５０のサブグループの２以上に分類される少なくとも２つの化合物を含有する受容体を用いるもの
C07C5/56	酸素およびハロゲンまたはハロゲン含有化合物のいずれか一方のみを含有するもの
C07C6/00	再分配反応による異なった数の炭素原子を含有する炭化水素からの炭化水素の製造
C07C6/02	不飽和炭素―炭素結合における複分解反応
C07C6/04	炭素―炭素二重結合における
C07C6/06	環式炭素―炭素二重結合における
C07C6/08	飽和炭素―炭素結合における転化によるもの
C07C6/10	６員芳香環を含有しない炭化水素における
C07C6/12	６員芳香環を含有する炭化水素のみの
C07C6/123	｛唯一の炭化水素の｝
C07C6/126	｛２種以上の炭化水素の｝
C07C7/00	精製；分離；添加剤の使用（炭化水素油の分解により得た組成の不明確なガス状混合物の仕上げ処理加工Ｃ１０Ｇ７０／００）
C07C7/005	｛少なくとも連続した２工程からなるプロセス｝
C07C7/04	蒸留によるもの　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/05	補助化合物を用いるもの
C07C7/06	共沸蒸留によるもの
C07C7/08	抽出蒸留によるもの
C07C7/09	分別凝縮によるもの　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/10	抽出によるもの，例．液剤を用いる液状炭化水素の精製または分離　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/11	吸収によるもの，例．液剤を用いるガス状炭化水素の精製または分離　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/12	吸着によるもの，例．固体吸着剤を用いる炭化水素の精製または分離　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/13	分子ふるい技術によるもの
C07C7/135	ガスクロマトグラフィーによるもの　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/14	結晶化によるもの；結晶の精製または分離　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/144	薄膜を用いるもの，例．選択的透過　｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　
C07C7/148	少なくとも１つの化合物の化学的変化を引き起こす処理によるもの｛（Ｃ０７Ｃ７／００Ｓ(ＥＣＬＡ)　が優先）｝　．<br><br><u>｛注</u><br><br>以下のサブクラスにおいては，接触剤および触媒の分類目的は重視しない。｝
C07C7/14808	｛元素として非金属によるもの（水素添加Ｃ０７Ｃ７／１６３）｝
C07C7/14816	｛酸素；オゾン｝
C07C7/14825	｛ハロゲン｝
C07C7/14833	｛金属またはその無機化合物によるもの｝
C07C7/14841	｛金属｝
C07C7/1485	｛酸化物；水酸化物；塩（Ｃ０７Ｃ７／１５６が優先）｝
C07C7/14858	｛前に分類されない有機化合物によるもの（酸，硫黄酸化物Ｃ０７Ｃ７／１７）｝
C07C7/14866	｛水（水和物生成Ｃ０７Ｃ７／１５２）｝
C07C7/14875	｛有機化合物によるもの（有機金属化合物Ｃ０７Ｃ７／１７３）｝
C07C7/14883	｛炭化水素｝
C07C7/14891	｛アルコール｝
C07C7/152	付加物または錯体を生成することによるもの
C07C7/156	銅塩の溶液を用いるもの
C07C7/163	水素添加によるもの
C07C7/167	炭素―炭素三重結合を含有する化合物の除去のためのもの
C07C7/17	酸または硫黄酸化物を用いるもの　｛（硫酸または発煙硫酸を使用するものＣ０７Ｃ７／００Ｓ(ＥＣＬＡ)）｝
C07C7/171	硫酸または発煙硫酸
C07C7/173	有機金属化合物を用いるもの
C07C7/177	混合物中の少なくとも１つの化合物の選択的低重合または選択的高重合によるもの
C07C7/20	添加剤の使用，例．安定化のためのもの
C07C9/00	脂肪族飽和炭化水素
C07C9/02	１〜４個の炭素原子を有するもの（液化石油ガスＣ１０Ｌ３／１２）
C07C9/04	メタン（汚泥の処理による製造Ｃ０２Ｆ１１／０４；天然ガス，合成天然ガスＣ１０Ｌ３／０６）
C07C9/06	エタン
C07C9/08	プロパン
C07C9/10	４個の炭素原子を有するもの
C07C9/12	イソブタン
C07C9/14	５〜１５個の炭素原子を有するもの
C07C9/15	鎖状炭化水素
C07C9/16	分枝鎖状炭化水素
C07C9/18	５個の炭素原子を有するもの
C07C9/21	２，２，４―トリメチルペンタン
C07C9/22	１６個以上の炭素原子を有するもの
C07C11/00	脂肪族不飽和炭化水素
C07C11/02	アルケン
C07C11/04	エチレン
C07C11/06	プロペン
C07C11/08	４個の炭素原子を有するもの
C07C11/09	イソブテン
C07C11/10	５個の炭素原子を有するもの
C07C11/107	６個の炭素原子を有するもの
C07C11/113	メチルペンテン
C07C11/12	アルカジエン
C07C11/14	アレン
C07C11/16	４個の炭素原子を有するもの
C07C11/167	１，３−ブタジエン
C07C11/173	５個の炭素原子を有するもの
C07C11/18	イソプレン
C07C11/20	１，３―ペンタジエン
C07C11/21	アルカトリエン；アルカテトラエン；他のアルカポリエン
C07C11/22	炭素―炭素三重結合を含有するもの
C07C11/24	アセチレン（湿式法によるアセチレンガスの製造Ｃ１０Ｈ）
C07C11/28	炭素―炭素二重結合と炭素―炭素三重結合とを含有するもの
C07C11/30	ブテニン
C07C13/00	６員芳香環以外の環を含有する環式炭化水素またはそれらの環と６員芳香環とを含有する環式炭化水素
C07C13/02	単環式炭化水素またはそれらの非環式炭化水素誘導体
C07C13/04	３員環をもつもの
C07C13/06	４員環をもつもの
C07C13/08	５員環をもつもの
C07C13/10	シクロペンタン環をもつもの
C07C13/11	不飽和炭化水素基で置換されたもの
C07C13/12	シクロペンテン環をもつもの
C07C13/15	シクロペンタジエン環をもつもの
C07C13/16	６員環をもつもの
C07C13/18	シクロヘキサン環をもつもの
C07C13/19	不飽和炭化水素基で置換されたもの
C07C13/20	シクロヘキセン環をもつもの
C07C13/21	メンタジエン
C07C13/23	シクロヘキサジエン環をもつもの
C07C13/24	７員環をもつもの
C07C13/26	８員環をもつもの
C07C13/263	シクロオクテンまたはシクロオクタジエン環をもつもの
C07C13/267	シクロオクタトリエンまたはシクロオクタテトラエン環をもつもの
C07C13/271	９〜１０員環をもつもの
C07C13/273	１２員環をもつもの
C07C13/275	不飽和の１２員環
C07C13/277	シクロドデカトリエン環をもつもの
C07C13/28	多環式炭化水素またはそれらの非環式炭化水素誘導体．<br><br><u>注</u><br><br>％隣接二重結合を最大数有する縮合６員環のみからなる環系はＣ０７Ｃ１５／００のグループに分類する。
C07C13/32	縮合環をもつもの
C07C13/34	４個の炭素原子を含有するビシクロ環系をもつもの
C07C13/36	５個の炭素原子を含有するビシクロ環系をもつもの
C07C13/38	６個の炭素原子を含有するビシクロ環系をもつもの
C07C13/39	７個の炭素原子を含有するビシクロ環系をもつもの
C07C13/40	ビシクロヘプタン環構造をもつもの
C07C13/42	ビシクロヘプテン環構造をもつもの
C07C13/43	非環式不飽和炭化水素により置換されているもの
C07C13/44	８個の炭素原子を含有するビシクロ環系をもつもの
C07C13/45	９個の炭素原子を含有するビシクロ環系をもつもの
C07C13/465	インデン；完全または部分水素化されたインデン
C07C13/47	１０個の炭素原子を含有するビシクロ環系をもつもの
C07C13/48	完全または部分水素化されたナフタレン
C07C13/50	デカヒドロナフタレン
C07C13/52	アズレン；完全または部分水素化されたアズレン
C07C13/54	３個の縮合環を有するもの
C07C13/547	少なくとも１個の環は６員環でなく，他の環は高々６員環であるもの
C07C13/553	インダセンまたは水素化されたインダセン環系を持つもの
C07C13/567	フルオレンまたは水素化されたフルオレン環系をもつもの
C07C13/573	３個の６員環をもつもの
C07C13/58	完全または部分水素化されたアントラセン
C07C13/60	完全または部分水素化されたフェナントレン
C07C13/605	架橋環系をもつもの
C07C13/61	架橋インデン環，例．ジシクロペンタジエン，をもつもの
C07C13/615	アダマンタン環をもつもの
C07C13/62	４個以上の縮合環をもつもの
C07C13/64	架橋環系をもつもの
C07C13/66	４個の環を含有する縮合環系
C07C13/68	架橋環系をもつもの
C07C13/70	少なくとも２個の互に縮合していない芳香環系が，その芳香環の非隣接位置において炭素鎖により形成された環構造で結合された縮合環系をもつもの，例．シクロファン
C07C13/72	スピロ炭化水素
C07C15/00	環部分として６員芳香環のみを含有する環式炭化水素
C07C15/02	単環式炭化水素
C07C15/04	ベンゼン
C07C15/06	トルエン
C07C15/067	Ｃ↓８Ｈ↓１↓０炭化水素
C07C15/073	エチルベンゼン
C07C15/08	キシレン
C07C15/085	イソプロピルベンゼン
C07C15/107	少なくとも６個の炭素原子を含有する飽和側鎖をもつもの，例．洗剤アルキレート
C07C15/113	各々少なくとも６個の炭素原子を含有する少なくとも２個の飽和側鎖をもつもの
C07C15/12	非縮合多環式炭化水素
C07C15/14	すべてのフェニル基が直接結合しているもの
C07C15/16	１個の非環式炭素原子に結合する少なくとも２個のフェニル基を含有するもの
C07C15/18	式[ｆｏｒｍｕｌａ:ｆｉｇ１８．ｇｉｆ｝で示される基を少なくとも１個含有するもの
C07C15/20	縮合多環炭化水素
C07C15/24	２個の環を含有するもの
C07C15/27	３個の環を含有するもの
C07C15/28	アントラセン
C07C15/30	フェナントレン
C07C15/38	４個の環を含有するもの
C07C15/40	不飽和炭化水素基で置換されたもの
C07C15/42	単環式のもの
C07C15/44	炭素―炭素二重結合を含有する炭化水素置換基
C07C15/46	スチレン；環がアルキル化されたスチレン
C07C15/48	炭素―炭素三重結合を含有する炭化水素置換基
C07C15/50	非縮合多環式のもの
C07C15/52	式[ｆｏｒｍｕｌａ:ｆｉｇ１９．ｇｉｆ｝で示される基を含有するもの
C07C15/54	式[ｆｏｒｍｕｌａ:ｆｉｇ２０．ｇｉｆ｝で示される基を含有するもの
C07C15/56	縮合多環式のもの
C07C15/58	２個の環を含有するもの
C07C15/60	３個の環を含有するもの
C07C15/62	４個の環を含有するもの
C07C17/00	ハロゲン化された炭化水素の製造
C07C17/007	炭素から，またはカーバイドとハロゲンから
C07C17/013	ハロゲンの付加によるもの
C07C17/02	不飽和炭化水素へ
C07C17/04	ハロゲン化された不飽和炭化水素へ
C07C17/06	水素のハロゲンによる置換と組み合わせたもの
C07C17/07	ハロゲン化水素の付加によるもの
C07C17/08	不飽和炭化水素へ
C07C17/087	ハロゲン化された不飽和炭化水素へ
C07C17/093	ハロゲンによる置換によるもの
C07C17/10	水素原子の（不飽和炭化水素へのハロゲンの付加と組み合わせたものＣ０７Ｃ１７／０６）
C07C17/12	芳香族化合物の環における
C07C17/14	芳香族化合物の側鎖における
C07C17/15	補助剤として酸素を用いるもの，例．オキシクロリネーション
C07C17/152	炭化水素の
C07C17/154	飽和炭化水素の
C07C17/156	不飽和炭化水素の
C07C17/158	ハロゲン化された炭化水素の
C07C17/16	水酸基の
C07C17/18	カルボニル基の酸素の
C07C17/20	他のハロゲンによるハロゲン原子の
C07C17/202	｛二種以上の化合物が反応に関与するもの｝
C07C17/204	｛他の化合物がハロゲンであるもの｝
C07C17/206	｛他の化合物がＨＸであるもの｝
C07C17/208	｛他の化合物がＭＸであるもの｝
C07C17/21	ハロゲンの原子数の増加を同時に伴うもの
C07C17/23	脱ハロゲン化によるもの
C07C17/25	ハロゲン化された炭化水素からのハロゲン化水素の脱離によるもの
C07C17/26	炭素骨格中の炭素原子数の増加を伴う反応によるもの
C07C17/263	縮合反応によるもの
C07C17/2632	
C07C17/2635	
C07C17/2637	
C07C17/266	炭化水素とハロゲン化された炭化水素の
C07C17/269	ハロゲン化された炭化水素のみの
C07C17/272	付加反応によるもの
C07C17/275	炭化水素とハロゲン化された炭化水素の
C07C17/278	ハロゲン化された炭化水素のみの
C07C17/281	一種の化合物のみの
C07C17/30	ディールス−アルダー合成によるもの
C07C17/32	環状化合物へのハロゲン化されたアルキル基の導入によるもの
C07C17/35	反応中の炭素またはハロゲン原子数の変化しない反応によるもの
C07C17/354	水素添加によるもの
C07C17/357	脱水素によるもの
C07C17/358	異性化によるもの
C07C17/361	炭素原子数の減少を伴う反応によるもの
C07C17/363	カルボキシル基の脱離によるもの
C07C17/367	解重合によるもの
C07C17/37	ハロゲン化された炭化水素の不均化によるもの
C07C17/38	分離；精製；安定化；添加剤の使用
C07C17/383	蒸留によるもの
C07C17/386	補助化合物を用いるもの
C07C17/389	固体への吸着によるもの
C07C17/392	結晶化によるもの；結晶の精製または分離
C07C17/395	少なくとも１個の化合物の化学変性をひき起す処理によるもの
C07C17/42	添加剤の使用，例．安定化のためのもの
C07C19/00	ハロゲン原子を含有する非環式飽和化合物
C07C19/01	塩素を含有するもの
C07C19/03	クロロメタン
C07C19/04	クロロホルム
C07C19/041	四塩化炭素
C07C19/043	クロロエタン
C07C19/045	ジクロロエタン
C07C19/05	トリクロロエタン
C07C19/055	テトラクロロエタン
C07C19/07	ヨウ素を含有するもの
C07C19/075	臭素を含有するもの
C07C19/08	フッ素を含有するもの
C07C19/10	さらに塩素を含有するもの
C07C19/12	２個の炭素原子を有するもの
C07C19/14	さらに臭素を含有するもの
C07C19/16	さらにヨウ素を含有するもの
C07C21/00	ハロゲン原子を含有する非環式不飽和化合物
C07C21/02	炭素―炭素二重結合を含有するもの
C07C21/04	クロロアルケン
C07C21/06	塩化ビニル
C07C21/067	アリルクロライド；メタリルクロライド
C07C21/073	ジクロロアルケン
C07C21/08	塩化ビニリデン
C07C21/09	ジクロロブテン
