D21F1/00	連続紙抄紙機の湿部
D21F3/083	｛穴あきのもの｝
D21F3/086	｛開先面を有するもの｝
D21F3/10	サクションロール，例．クーチロール
D21F3/105	｛それらのカバー｝
D21F5/00	連続紙抄紙機の乾燥部
D21F5/001	｛放射加熱による紙匹乾燥｝
D21F5/002	｛赤外線放射要素からのもの｝
D21F5/003	｛シャッター手段｝
D21F5/004	｛加熱された面または材料との接触による紙匹乾燥｝
D21F5/005	｛流動層内における｝
D21F5/006	｛音波振動による紙匹乾燥｝
D21F5/007	｛吸収体との接触による紙匹乾燥｝
D21F5/008	｛ガス炎との直接接触による紙匹乾燥｝
D21F5/009	｛遠心処理による紙匹乾燥｝
D21F5/02	シリンダ上で乾燥するもの
D21F5/021	｛シリンダの構成｝
D21F5/022	｛シリンダの加熱｝
D21F5/024	｛電気手段を使うもの｝
D21F5/025	｛燃焼ガスを使うもの｝
D21F5/027	｛加熱手段とシリンダ胴との間の伝熱流体を使うもの｝
D21F5/028	｛水蒸気を使うもの｝
D21F5/04	２つまたはそれ以上の乾燥シリンダで行なうもの
D21F5/042	｛吸引または送風装置と組み合わされているもの｝
D21F5/044	｛シリンダを覆う空気フードを用いるもの｝
D21F5/046	｛ポケット換気システムを用いるもの｝
D21F5/048	｛他の加熱手段と組み合わされているもの｝
D21F5/06	温度調整
D21F5/08	シリンダ内スチームポイントの配置
D21F5/10	シリンダの内部からの凝縮水の除去
D21F5/12	懸垂乾燥
D21F5/14	真空応用による紙匹乾燥
D21F5/143	｛穴あきシリンダによるもの｝
D21F5/146	｛真空シール｝
D21F5/16	電気的加熱による紙匹乾燥
D21F5/162	｛抵抗加熱｝
D21F5/165	｛誘導加熱；容量加熱｝
D21F5/167	｛マイクロ波加熱｝
D21F5/18	熱風による紙匹乾燥
D21F5/181	｛ヤンキーシリンダ上のもの｝
D21F5/182	｛有孔シリンダを通してのもの｝
D21F5/184	｛その表面｝
D21F5/185	｛熱風乾燥機における紙匹支持｝
D21F5/187	｛空気噴流を使うもの｝
D21F5/188	｛送風装置｝
D21F5/20	廃熱回収
D21F7/00	連続紙抄紙機のその他の細部
D21F7/001	｛ワイヤ交換装置｝
D21F7/003	｛層の含水率の表示または調整｝
D21F7/005	｛ワイヤ伸張装置｝
D21F7/006	｛紙匹側縁裁断｝
D21F7/008	｛水蒸気シャワー｝
D21F7/02	機械的駆動装置
D21F7/04	紙切れ制御装置
D21F7/06	紙層の厚さの表示または調整；信号装置
D21F7/08	フエルト
D21F7/083	｛多層フェルト｝
D21F7/086	｛繊維紙匹の伝送のための本質的な不透過性｝
D21F7/10	その継ぎ目
D21F7/12	乾燥
D21F9/00	連続紙抄紙機の全体
D21F9/003	｛ツインワイヤ型のもの｝
D21F9/006	｛２枚またはそれ以上の層に抄き合わせた紙または厚紙｝
D21F9/02	長網式の
D21F9/04	円網式の
D21F9/043	｛浸透円網によるもの｝
D21F9/046	｛非浸透円網によるもの｝
D21F11/00	抄紙機で紙，厚紙，ファイバーボード用湿紙，の長尺物を製造する工程
D21F11/002	｛泡立ち懸濁液の使用によるもの｝
D21F11/004	｛懸濁液の粘度調整によるもの｝
D21F11/006	｛模様紙の製造｝
D21F11/008	｛開口のある紙の製造｝
D21F11/02	長網式の
D21F11/04	２枚またはそれ以上の層に抄き合わせた紙または厚紙
D21F11/06	円網式の
D21F11/08	２枚またはそれ以上の層に抄き合わせた紙または厚紙
D21F11/10	擬手すき紙の製造
D21F11/12	波形紙または段ボールの製造
D21F11/14	紙綿，濾紙または吸取り紙の製造
D21F11/145	｛透過乾燥の工程を含むもの｝
D21F11/16	紡績またはねん糸用小幅紙の製造
D21F13/00	紙，パルプ板紙または厚紙のまたはファイバーボード用湿紙の非連続シートの製造（成形金型による板紙の非連続シートの製造Ｄ２１Ｊ；紙，パルプ板紙または厚紙の非連続シート形成における乾燥Ｆ２６Ｂ）
D21F13/02	手すき紙の製造
D21F13/04	円網板紙抄造機で
D21F13/06	地合い構成ロール
D21F13/08	自動切断ロール
D21F13/10	ボードプレスを用いるもの
D21F13/12	プレートプレス
