G11C5/00	Ｇ１１Ｃ１１／００に分類される記憶装置の細部
G11C2216/14	不揮発性メモリにページまたはセクタ情報を同時に書込む回路または方法，典型的にはフラッシュメモリ内の一行又は一ワード線の全セルに対するもの
G11C2216/16	アレイ、セクタ、またはブロックの全セルに同時にフラッシュ書込みをするもの
G11C2216/18	アレイ、セクタまたはブロックに同時にフラッシュ消去をするもの
G11C2216/20	他のセルを読出すために、アレイ内のセルの書込みまたは消去の中断を行うもの
G11C2216/22	一つのバンクまたはアレイ内のワードまたはセクタを書込みまたは消去している間に、他のメモリバンクまたはアレイから読出しを同時に行う不揮発性メモリ
G11C2216/24	一つのバンクまたはアレイ内のワードまたはセクタを消去している間に、他のメモリバンクまたはアレイから書込みを同時に行う不揮発性メモリ
G11C2216/26	ワンタイムプログラマブル［ＯＴＰ］に適合するフローティングゲートメモリ，例．制限された更新能力を有する複数のＯＴＰブロックを含むもの
G11C2216/28	反転プログラムにより書込まれるフローティングゲートメモリ，例．負ゲート電圧により書込まれ、正ゲート電圧により消去されるもの、または高ソースまたはドレイン電圧により書込まれ、高ゲート電圧により消去されるもの
G11C2216/30	アドレスまたはデータの送信あるいは受信にシリアルインターフェイスを用いて入力／出力ピンの数を減らすもの
G11C2229/00	
G11C2229/70	
G11C2229/72	
G11C2229/723	
G11C2229/726	
G11C2229/74	
G11C2229/743	
G11C2229/746	
G11C2229/76	
G11C2229/763	
G11C2229/766	
