G16H10/00	患者関連の医療または健康管理データの取扱いまたは処理に特に適合したＩＣＴ（医学的レポート用Ｇ１６Ｈ１５／００；療法または健康改善計画用Ｇ１６Ｈ２０／００；医療画像の取扱いまたは処理用Ｇ１６Ｈ３０／００）<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／００はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３６，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/40	機械，放射線または侵襲的療法に関するもの，例．外科手術，レーザー療法，透析または鍼<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／４０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４８１，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/60	栄養管理に関するもの，例．ダイエット<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／６０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４５６，Ｇ０６Ｆ１９／３４６２，Ｇ０６Ｆ１９／３４７５，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/70	精神療法に関するもの，例．心理学的療法または自律訓練<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／７０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４５６，Ｇ０６Ｆ１９／３４６２，Ｇ０６Ｆ１９／３４６８，Ｇ０６Ｆ１９／３４７５，Ｇ０６Ｆ１９／３４８１，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/90	代替医療に関するもの，例．ホメオパシーまたは東洋医学<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／９０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４５６，Ｇ０６Ｆ１９／３４６２.Ｇ０６Ｆ１９／３４６８，Ｇ０６Ｆ１９／３４７５，Ｇ０６Ｆ１９／３４８１，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H30/00	医療画像の取扱いまたは処理に特に適合したＩＣＴ（計算による断層写真術Ａ６１Ｂ６／０３）<br><br><u>警告</u><br><br>グループＧ１６Ｈ３０／００−Ｇ１６Ｈ３０／４０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２１，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>グループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２１，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４およびＧ０６Ｈ３０／００，Ｇ１６Ｈ３０／４０はコンプリートサーチの完遂のために考慮されるべきである。
G16H30/20	医療画像を取り扱うためのもの，例．ＤＩＣＯＭ，ＨＬ７またはＰＡＣＳ
G16H30/40	医療画像を処理するためのもの，例．編集
G16H40/00	ヘルスケア資源または設備の管理または運営に特に適合したＩＣＴ；医療機器または装置の管理または操作に特に適合したＩＣＴ<br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／００はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H40/20	ヘルスケア資源または設備を管理または運営するためのもの，例．病院職員または手術室の管理<br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／２０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H40/40	医療機器または装置を管理するためのもの，例．保守またはアップグレードのスケジューリング<br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／４０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４１８，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H40/60	医療機器または装置を操作するためのもの<br><br><u>注</u><br><br>１．このグループは，医療機器もしくは装置，またはそのインターフェイスの操作に特に適合したＩＣＴ，すなわち，医療または健康管理データのコンテクスト上，コンテンツ関連，または，構造上の変換を伴うデータの処理に焦点をあてた操作の観点を包含する。<br>２．このグループは，医療または健康管理データのコンテクスト上，コンテンツ関連，または，構造上の変換を伴わない，医療機器もしくは装置，またはそのインターフェイスの操作を包含しない。これらはクラスＡ６１の関連するグループに分類される。 <br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／６０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４１８，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H40/63	ローカル操作のためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／６３はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H40/67	遠隔操作のためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ４０／６７はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４１８，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H50/00	医療診断，医療シミュレーションまたは医療データマイニングに特に適合したＩＣＴ；伝染病またはパンデミックの検知，監視またはモデル化を行うために特に適合したＩＣＴ<br><br><u>警告</u><br><br>グループＧ１６Ｈ５０／００−Ｇ１６Ｈ５０／８０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>グループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４およびＧ０６Ｈ５０／００，Ｇ０６Ｈ５０／８０はコンプリートサーチの完遂のために考慮されるべきである。
G16H50/20	コンピュータ使用による診断のためのもの，例．医療エキスパートシステムに基づくもの
G16H50/30	健康指標を計算するためのもの；個々の健康リスク評価のためのもの
G16H50/50	医学的疾患のシミュレーションまたはモデル化のためのもの
G16H50/70	医療データのマイニングのためのもの，例．他の患者の先例の分析
G16H50/80	伝染病またはパンデミックの検知，監視またはモデル化を行うためのもの，例．インフルエンザ
G16H70/00	医療参考資料の取扱いまたは処理に特に適合したＩＣＴ<br><br><u>警告</u><br><br>グループＧ１６Ｈ７０／００はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２４，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H70/20	実施またはガイドラインに関するもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ７０／２０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２５，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H70/40	薬に関するもの，例．その副作用または想定される使用<br><br><u>警告</u><br><br>グループＧ１６Ｈ７０／４０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２６，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H70/60	病理学に関連するもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ７０／６０はＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３２４，Ｇ０６Ｆ１９／３２５，Ｇ０６Ｆ１９／３２６，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H80/00	医者，患者の間のコミュニケーションを容易にするために特に適合したＩＣＴ，例．協調的診断，療法または健康監視<br><br><u>警告</u><br><br>Ｇ１６Ｈ８０／００はＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>グループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４およびＧ１６Ｈ８０／００はコンプリートサーチの完遂のために考慮されるべきである。
