C08B1/00	セルロース誘導体を製造するためのセルロースの予備処理
C08B37/0012	｛シクロデキストリン（ＣＤ），例．６ユニット（α），７ユニット（β）および８ユニット（γ）の環，９ユニット以上の大環状シクロデキストリンまたはシクロアミロース；その誘導体｝
C08B37/0015	｛包接化合物，すなわちホスト−ゲスト化合物，例．ポリロタキサン｝
C08B37/0018	｛プルラン，すなわち（α−１，４）（α−１，６）−Ｄ−グルカン；その誘導体｝
C08B37/0021	｛デキストラン，すなわち（α−１，４）−Ｄ−グルカン；その誘導体，例．セファデックス，すなわち架橋されたデキストラン｝
C08B37/0024	｛β−Ｄ−グルカン；（β−１，３）−Ｄ−グルカン，例．パラミロン，コリオラン，スクレロタン，パキマン，カロース，スクレログルカン，シゾフィラン，ラミナラン，レンチナンまたはカードラン；（ベータ−１，６）−Ｄ−グルカン，例．プスツラン；（β−１，４）−Ｄ−グルカン；（β−１，３）（β−１，４）−Ｄ−グルカン，例．リケナン；その誘導体｝
C08B37/0027	｛２−アセトアミド−２−デオキシ−β−グルカン；　その誘導体｝
C08B37/003	｛キチン，すなわち２−アセトアミド−２−デオキシ−（β−１，４）−Ｄ−グルカンまたはＮ−アセチル−β−１，４−Ｄ−グルコサミン；キトサン，すなわちキチンまたは（β−１，４）−Ｄ−グルコサミンの脱アセチル化物；その誘導体｝
C08B37/0033	｛キサンタン，すなわち（β−１，４）−Ｄ−グルコースユニットの主鎖が酢酸およびピルビン酸で置換されたＤ−グルコース，Ｄ−マンノースおよびＤ−グルクロン酸ユニット；　その誘導体｝
C08B37/0036	｛ガラクタン；　その誘導体｝
C08B37/0039	｛寒天；アガロース，すなわちＤ−ガラクトース，３，６−アンヒドロ−Ｄ−ガラクトース，メチル化物，硫酸化物，例．テングサおよびオゴノリからのもの；アガロペクチン；その誘導体，例．セファロース，すなわち架橋されたアガロース｝
C08B37/0042	｛カラゲナン，すなわちいずれも部分的に硫酸化された，Ｄ−ガラクトースおよび３，６−アンヒドロ−Ｄ−ガラクトース，例．ヤハズツノマタまたは Gigantia stellata からのもの；κ−カラゲナン；ι−カラゲナン；λ−カラゲナン；その誘導体｝
C08B37/0045	｛α−Ｄ−ガラクツロナン，例．（α−１，４）−Ｄ−ガラクツロン酸ユニットのメチルエステル，すなわちペクチン，またはα−１，４−Ｄ−ガラクツロン酸ユニットのメチルエステルの加水分解物，すなわちペクチン酸；その誘導体｝
C08B37/0048	｛有機材料からの抽出のプロセス｝
C08B37/0051	｛β−Ｄ−フルクトフラナン，例．β−２，６−Ｄ−フルクトフラナン，すなわちレバン；その誘導体｝
C08B37/0054	｛イヌリン，すなわちβ−２，１−Ｄ−フルクロフラナン；その誘導体｝
C08B37/0057	｛β−Ｄ−キシラン，すなわちキシロサッカライド，例．アラビノキシラン，アラビノフロナン，ペントサン；（β−１，３）（β−１，４）−Ｄ−キシラン，例．ロジメナン；ヘミセルロース；その誘導体｝
C08B37/006	｛ヘテログリカン，すなわち，交互にまたはやや少ない規則性の配列で主鎖に２個以上の糖基を持つ多糖類；スクシノグリカン；アラビノガラクタン；トラガントまたはトラガントガムまたはゲンゲ属からのトラガント；カラヤゴムノキからのカラヤガム；Anogeissus latifoliaからのガティガム；その誘導体｝
C08B37/0063	｛グリコサミノグリカンまたはムコ多糖類，例．ケラタン硫酸；その誘導体，例．フコイダン｝
C08B37/0066	｛器官からのプロテオグリカンの単離または抽出｝
C08B37/0069	｛硫酸−４−コンドロイチン，すなわちコンドロイチン硫酸Ａ；硫酸デルマタン，すなわちコンドロイチン硫酸Ｂまたはβ−ヘパリン；コンドロイチン−６−硫酸，すなわちコンドロイチン硫酸Ｃ；その誘導体｝
C08B37/0072	｛ヒアルロン酸，すなわちＨＡまたはヒアルロナン；その誘導体，例．架橋されたヒアルロン酸（ハイラン）またはヒアルロン酸エステル｝
C08B37/0075	｛ヘパリン；　硫酸ヘパラン；　その誘導体｝
C08B37/0078	｛分解生成物｝
C08B37/0081	｛アミノ酸，ペプチドまたは蛋白質との反応｝
C08B37/0084	｛グルロマンヌロラン，例．アルギン酸，すなわちＤ−マンヌロン酸およびα−およびβ−１，４−グリコシド結合を変更したＤ−グルロン酸ユニット；その誘導体，例．アルギン酸エステル｝
C08B37/0087	｛グルコマンナンまたはガラクトマンナン；タラまたはタラガム，すなわちＤ−マンノースおよびＤ−ガラクトースユニット，例．タラからのもの；タマリンドガム，すなわちＤ−ガラクトース，Ｄ−グルコースおよびＤ−キシロースユニット，例．タマリンドからのもの；アラビアガム，すなわちＬ−アラビノース，Ｌ−ラムノース，Ｄ−ガラクトースおよびＤ−グルクロン酸ユニット，例．アラビアゴムノキまたはAcacia Seyal からのもの；その誘導体｝
C08B37/009	｛コンニャクゴムまたはコンニャクモンナン，すなわち１，４−結合により架橋されたβ−Ｄ−グルコースおよびβ−Ｄ−マンノースユニット，例．コンニャク属種からのもの；その誘導体｝
C08B37/0093	｛ローカストビーンゴム，すなわちイナゴマメガム，主鎖に（β−１，４）−Ｄ−マンノースユニットを有し，Ｄ−ガラクトースユニットの（α−１，６）で分岐しているもの，例．キャロブまたはイナゴマメの種子からのもの；その誘導体｝
C08B37/0096	｛グアー，グアーガム，グアラン，すなわち主鎖の（β−１，４）で架橋されたＤ−マンノース単位を有しＤ−ガラクトースユニットの（α−１，６）で分岐しているもの，例．クラスタマメからのもの；その誘導体｝
C08B37/12	寒天；その誘導体（現在この分類は使用していない）
C08B37/125	｛カラゲナンのような藻類の他の多糖類｝　（現在この分類は使用していない）
C08B37/14	ヘミセルロース；その誘導体（現在この分類は使用していない）
C08B37/143	｛ペントース単位からなるもの，例．キシロース，キシラン，ペントサン，アラビノース｝　（現在この分類は使用していない）
C08B37/146	｛グルコおよび／またはガラクトマンナン，例．グアーゴム，ローカストビーンゴム｝　（現在この分類は使用していない）
C08B37/18	貯蔵炭水化物，例．グリコーゲン，イヌリン，ラミナリン；その誘導体（現在この分類は使用していない）
