C12Y101/00	CH-OH結合を電子供与体とする (1.1)
C12Y113/12016	ニトロン酸モノオキシゲナーゼ (1.13.12.16)
C12Y113/12017	ジクロロアルシリアフラビンAシンターゼ (1.13.12.17)
C12Y113/12018	渦鞭毛藻ルシフェラーゼ (1.13.12.18)
C12Y113/12019	2オキソグルタル酸ジオキシゲナーゼ（エチレン形成） (1.13.12.19)
C12Y113/99	その他のオキシゲナーゼ (1.13.99)
C12Y113/99001	イノシトールオキシゲナーゼ (1.13.99.1)
C12Y113/99003	トリプトファン-2'-ジオキシゲナーゼ (1.13.99.3)
C12Y114/00	電子対供与作用を持つ; 分子酸素を取り込むないしは分子酸素を還元する (1.14)
C12Y114/11	2-オキソグルタル酸類を片方の電子供与体とする;酸素分をそれぞれの電子供与体に取り込む (1.14.11)
C12Y114/11001	γ-ブチロベタインジオキシゲナーゼ (1.14.11.1)
C12Y114/11002	プロコラーゲン-プロリンジオキシゲナーゼ (1.14.11.2)
C12Y114/11003	ピリミジン-デオキシヌクレオシド 2'-ジオキシゲナーゼ (1.14.11.3)
C12Y114/11004	プロコラーゲン-リシン-5-ジオキシゲナーゼ (1.14.11.4)
C12Y114/11006	チミンジオキシゲナーゼ (1.14.11.6)
C12Y114/11007	プロコラーゲン-プロリン-3-ジオキシゲナーゼ (1.14.11.7)
C12Y114/11008	トリメチルリシンジオキシゲナーゼ (1.14.11.8)
C12Y114/11009	フラバノン-3-ジオキシゲナーゼ (1.14.11.9)
C12Y114/1101	ピリミジン-デオキシヌクレオシド-1'-ジオキシゲナーゼ (1.14.11.10)
C12Y114/11011	ヒヨスチアミン (6S)-ジオキシゲナーゼ (1.14.11.11)
C12Y114/11012	ジベレリン-44-ジオキシゲナーゼ (1.14.11.12)
C12Y114/11013	ジベレリン-2β-ジオキシゲナーゼ (1.14.11.13)
C12Y114/11014	6β-ヒドロキシヒヨスチアミンエポキシダーゼ (1.14.11.14)
C12Y114/11015	ジベレリン-3β-ジオキシゲナーゼ (1.14.11.15)
C12Y114/11016	ペプチド-アスパラギン酸-β-ジオキシゲナーゼ (1.14.11.16)
C12Y114/11017	タウリンジオキシゲナーゼ (1.14.11.17)
C12Y114/11018	フィタノイルCoAジオキシゲナーゼ (1.14.11.18)
C12Y114/11019	ロイコシアニジンオキシゲナーゼ (1.14.11.19)
C12Y114/1102	デアセトキシビンドリン-4-ヒドロキシラーゼ (1.14.11.20)
C12Y114/11021	クラバミン酸シンターゼ (1.14.11.21)
C12Y114/11022	フラボンシンターゼ (1.14.11.22)
C12Y114/11023	フラボノールシンターゼ (1.14.11.23)
C12Y114/11024	2'-デオキシムギネ酸-2'-ジオキシゲナーゼ (1.14.11.24)
C12Y114/11025	ムギネ酸-3-ジオキシゲナーゼ (1.14.11.25)
C12Y114/11026	デアセトキシセファロスポリンCヒドロキシラーゼ (1.14.11.26)
C12Y114/11027	(ヒストンH3)-リシン-36-デメチラーゼ (1.14.11.27)
C12Y114/11028	プロリン-3-ヒドロキシラーゼ (1.14.11.28)
C12Y114/11029	低酸素症誘導因子プロリンジオキシゲナーゼ (1.14.11.29)
C12Y114/1103	低酸素症誘導因子アスパラギンジオキシゲナーゼ (1.14.11.30)
C12Y114/11031	テバイン6-O-デメチラーゼ (1.14.11.31)
C12Y114/11032	コデイン3-O-デメチラーゼ (1.14.11.32)
C12Y114/11033	DNA酸化的デメチラーゼ (1.14.11.33)
C12Y114/11034	2オキソグルタル酸/Ｌアルギニンモノオキシナゲーゼ/デカルボキシラーゼ　（こはく酸塩形成） (1.14.11.34)
C12Y114/11035	
C12Y114/11036	
C12Y114/12	NADHまたはNADPHを片方の電子供与体とし、もう一方の電子供与体が2つの酸素原子を取り込む (1.14.12)
C12Y114/12001	アントラニル酸-1,2-ジオキシゲナーゼ (脱アミノ化, 脱炭酸) (1.14.12.1)
C12Y114/12003	ベンゼン-1,2-ジオキシゲナーゼ (1.14.12.3)
C12Y114/12004	3-ヒドロキシ-2-メチルピリジンカルボン酸ジオキシゲナーゼ (1.14.12.4)
C12Y114/12005	5-ピリドキシン酸ジオキシゲナーゼ (1.14.12.5)
C12Y114/12007	フタル酸-4,5-ジオキシゲナーゼ (1.14.12.7)
C12Y114/12008	4-スルホ安息香酸-3,4-ジオキシゲナーゼ (1.14.12.8)
C12Y114/12009	4-クロロフェニル酢酸-3,4-ジオキシゲナーゼ (1.14.12.9)
C12Y114/1201	安息香酸-1,2-ジオキシゲナーゼ (1.14.12.10)
C12Y114/12011	トルエンジオキシゲナーゼ (1.14.12.11)
C12Y114/12012	ナフタレン-1,2-ジオキシゲナーゼ (1.14.12.12)
C12Y114/12013	2-クロロ安息香酸-1,2-ジオキシゲナーゼ (1.14.12.13)
C12Y114/12014	2-アミノベンゼンスルホン酸-2,3-ジオキシゲナーゼ (1.14.12.14)
C12Y114/12015	テレフタル酸-1,2-ジオキシゲナーゼ (1.14.12.15)
C12Y114/12016	2-ヒドロキシキノリン-5,6-ジオキシゲナーゼ (1.14.12.16)
C12Y114/12017	一酸化窒素ジオキシゲナーゼ (1.14.12.17)
C12Y114/12018	ビフェニル-2,3-ジオキシゲナーゼ (1.14.12.18)
C12Y114/12019	3-フェニルプロパン酸ジオキシゲナーゼ (1.14.12.19)
C12Y114/1202	フェオホルビドaオキシゲナーゼ (1.14.12.20)
C12Y114/12021	ベンゾイルCoA-2,3-ジオキシゲナーゼ (1.14.12.21)
C12Y114/12022	カルバゾール-1,9a-ジオキシゲナーゼ (1.14.12.22)
C12Y114/13	NADHまたはNADPHを片方の電子供与体とし、1つの酸素原子を取り込む (1.14.13)
C12Y114/13001	サリチル酸-1-モノオキシゲナーゼ (1.14.13.1)
C12Y114/13002	4-ヒドロキシ安息香酸-3-モノオキシゲナーゼ (1.14.13.2)
C12Y114/13004	メリロト酸-3-モノオキシゲナーゼ (1.14.13.4)
C12Y114/13005	イミダソール酢酸-4-モノオキシゲナーゼ (1.14.13.5)
C12Y114/13006	オルシノール-2-モノオキシゲナーゼ (1.14.13.6)
C12Y114/13007	フェノール-2-モノオキシゲナーゼ (1.14.13.7)
C12Y114/13008	フラビン含有モノオキシゲナーゼ (1.14.13.8)
C12Y114/13009	キヌレニン-3-モノオキシゲナーゼ (1.14.13.9)
C12Y114/1301	2,6-ジヒドロキシピリジン-3-モノオキシゲナーゼ (1.14.13.10)
C12Y114/13011	trans-ケイ皮酸-4-モノオキシゲナーゼ (1.14.13.11)
C12Y114/13012	安息香酸-4-モノオキシゲナーゼ (1.14.13.12)
C12Y114/13013	カルシジオール-1-モノオキシゲナーゼ (1.14.13.13)
C12Y114/13014	trans-ケイ皮酸-2-モノオキシゲナーゼ (1.14.13.14)
C12Y114/13015	コレスタントリオール-26-モノオキシゲナーゼ (1.14.13.15)
C12Y114/13016	シクロペンタノンモノオキシゲナーゼ (1.14.13.16)
C12Y114/13017	コレステロール7αモノオキシゲナーゼ (1.14.13.17)
C12Y114/13018	4-ヒドロキシフェニル酢酸-1-モノオキシゲナーゼ (1.14.13.18)
C12Y114/13019	タキシフォリン-8-モノオキシゲナーゼ (1.14.13.19)
C12Y114/1302	2,4-ジクロロフェノール-6-モノオキシゲナーゼ (1.14.13.20)
C12Y114/13021	フラボノイド-3'-モノオキシゲナーゼ (1.14.13.21)
C12Y114/13022	シクロヘキサノンモノオキシゲナーゼ (1.14.13.22)
C12Y114/13023	3-ヒドロキシ安息香酸-4-モノオキシゲナーゼ (1.14.13.23)
C12Y114/13024	3-ヒドロキシ安息香酸-6-モノオキシゲナーゼ (1.14.13.24)
C12Y114/13025	メタンモノオキシゲナーゼ (1.14.13.25)
C12Y114/13026	ホスファチジルコリン-12-モノオキシゲナーゼ (1.14.13.26)
C12Y114/13027	4-アミノ安息香酸-1-モノオキシゲナーゼ (1.14.13.27)
C12Y114/13028	3,9-ジヒドロキシプテロカルパン-6a-モノオキシゲナーゼ (1.14.13.28)
C12Y114/13029	4-ニトロフェノール-2-モノオキシゲナーゼ (1.14.13.29)
C12Y114/1303	ロイコトリエンB4-20-モノオキシゲナーゼ (1.14.13.30)
C12Y114/13031	2-ニトロフェノール-2-モノオキシゲナーゼ (1.14.13.31)
C12Y114/13032	アルベンダゾールモノオキシゲナーゼ (1.14.13.32)
C12Y114/13033	4-ヒドロキシ安息香酸-3-モノオキシゲナーゼ (NAD(P)H) (1.14.13.33)
C12Y114/13034	ロイコトリエン-E4-20-モノオキシゲナーゼ (1.14.13.34)
C12Y114/13035	アントラニル酸-3-モノオキシゲナーゼ (脱アミノ化) (1.14.13.35)
C12Y114/13036	5-O-(4-クマロイル)-D-キナ酸-3'-モノオキシゲナーゼ (1.14.13.36)
C12Y114/13037	メチルテトラヒドロプロトベルベリン-14-モノオキシゲナーゼ (1.14.13.37)
C12Y114/13038	アンヒドロテトラサイクリンモノオキシゲナーゼ (1.14.13.38)
C12Y114/13039	一酸化窒素シンターゼ (1.14.13.39)
C12Y114/1304	アントラニロイルCoAモノオキシゲナーゼ (1.14.13.40)
C12Y114/13041	チロシン N-モノオキシゲナーゼ (1.14.13.41)
C12Y114/13043	クェスチンモノオキシゲナーゼ (1.14.13.43)
C12Y114/13044	2-ヒドロキシビフェニル-3-モノオキシゲナーゼ (1.14.13.44)
C12Y114/13046	(-)-メントールモノオキシゲナーゼ (1.14.13.46)
C12Y114/13047	(S)-リモネン-3-モノオキシゲナーゼ (1.14.13.47)
C12Y114/13048	(S)-リモネン-6-モノオキシゲナーゼ (1.14.13.48)
C12Y114/13049	(S)-リモネン-7-モノオキシゲナーゼ (1.14.13.49)
C12Y114/1305	ペンタクロロフェノールモノオキシゲナーゼ (1.14.13.50)
C12Y114/13051	6-オキソシネオールデヒドロゲナーゼ (1.14.13.51)
C12Y114/13052	イソフラボン-3'-ヒドロキシラーゼ (1.14.13.52)
C12Y114/13053	4'-メトキシイソフラボン-2'-ヒドロキシラーゼ (1.14.13.53)
C12Y114/13054	ケトステロイドモノオキシゲナーゼ (1.14.13.54)
C12Y114/13055	プロトピン-6-モノオキシゲナーゼ (1.14.13.55)
C12Y114/13056	ジヒドロサンギナリン-10-モノオキシゲナーゼ (1.14.13.56)
C12Y114/13057	ジヒドロケリルビン-12-モノオキシゲナーゼ (1.14.13.57)
C12Y114/13058	ベンゾイルCoA-3-モノオキシゲナーゼ (1.14.13.58)
C12Y114/13059	L-リシン-6-モノオキシゲナーゼ (NADPH) (1.14.13.59)
C12Y114/1306	27-ヒドロキシコレステロール-7α-モノオキシゲナーゼ (1.14.13.60)
C12Y114/13061	2-ヒドロキシキノリン-8-モノオキシゲナーゼ (1.14.13.61)
C12Y114/13062	4-ヒドロキシキノリン-3-モノオキシゲナーゼ (1.14.13.62)
C12Y114/13063	3-ヒドロキシフェニル酢酸-6-ヒドロキシラーゼ (1.14.13.63)
C12Y114/13064	4-ヒドロキシ安息香酸-1-ヒドロキシラーゼ (1.14.13.64)
C12Y114/13066	2-ヒドロキシシクロヘキサノン-2-モノオキシゲナーゼ (1.14.13.66)
C12Y114/13067	キニーネ-3-モノオキシゲナーゼ (1.14.13.67)
C12Y114/13068	4-ヒドロキシフェニルアセトアルデヒドオキシムモノオキシゲナーゼ (1.14.13.68)
C12Y114/13069	アルケンモノオキシゲナーゼ (1.14.13.69)
C12Y114/1307	ステロール-14-デメチラーゼ (1.14.13.70)
C12Y114/13071	N-メチルコクラウリン-3'-モノオキシゲナーゼ (1.14.13.71)
C12Y114/13072	メチルステロールモノオキシゲナーゼ (1.14.13.72)
C12Y114/13073	タベルソニン-16-ヒドロキシラーゼ (1.14.13.73)
C12Y114/13074	7-デオキシロガニン-7-ヒドロキシラーゼ (1.14.13.74)
C12Y114/13075	ビノリンヒドロキシラーゼ (1.14.13.75)
C12Y114/13076	タキサン-10β-ヒドロキシラーゼ (1.14.13.76)
C12Y114/13077	タキサン-13α-ヒドロキシラーゼ (1.14.13.77)
C12Y114/13078	ent-カウレンオキシダーゼ (1.14.13.78)
C12Y114/13079	ent-カウレン酸オキシダーゼ (1.14.13.79)
C12Y114/1308	(R)-リモネン-6-モノオキシゲナーゼ (1.14.13.80)
C12Y114/13081	マグネシウム-プロトポルフィリンIX モノメチルエステル(酸化的)シクラーゼ (1.14.13.81)
C12Y114/13082	バニリン酸モノオキシゲナーゼ (1.14.13.82)
C12Y114/13083	プレコリン3Bシンターゼ (1.14.13.83)
C12Y114/13084	4-ヒドロキシアセトフェノンモノオキシゲナーゼ (1.14.13.84)
C12Y114/13085	グリセオリンシンターゼ (1.14.13.85)
C12Y114/13086	2-ヒドロキシイソフラバノンシンターゼ (1.14.13.86)
C12Y114/13087	リコジオンシンターゼ (1.14.13.87)
C12Y114/13088	フラボノイド-3',5'-ヒドロキシラーゼ (1.14.13.88)
C12Y114/13089	イソフラボン-2'-ヒドロキシラーゼ (1.14.13.89)
C12Y114/1309	ゼアキサンチンエポキシダーゼ (1.14.13.90)
C12Y114/13091	デオキシサルパジンヒドロキシラーゼ (1.14.13.91)
C12Y114/13092	フェニルアセトンモノオキシゲナーゼ (1.14.13.92)
C12Y114/13093	(+)-アブシシン酸-8'-ヒドロキシラーゼ (1.14.13.93)
C12Y114/13094	リトコール酸-6β-ヒドロキシラーゼ (1.14.13.94)
C12Y114/13095	7α-ヒドロキシコレスト-4-エン-3-オン-12α-ヒドロキシラーゼ (1.14.13.95)
C12Y114/13096	5β-コレスタン-3α,7α-ジオール-12α-ヒドロキシラーゼ (1.14.13.96)
C12Y114/13097	タウロケノデオキシコール酸-6α-ヒドロキシラーゼ (1.14.13.97)
C12Y114/13098	コレステロール-24-ヒドロキシラーゼ (1.14.13.98)
C12Y114/13099	24-ヒドロキシコレステロール-7α-ヒドロキシラーゼ (1.14.13.99)
C12Y114/131	25-ヒドロキシコレステロール-7α-ヒドロキシラーゼ (1.14.13.100)
C12Y114/13101	セネシオニン-N-オキシゲナーゼ (1.14.13.101)
C12Y114/13102	プソラレンシンターゼ (1.14.13.102)
C12Y114/13103	8-ジメチルアリルナリンゲニン-2'-ヒドロキシラーゼ (1.14.13.103)
C12Y114/13104	(+)-メントフランシンターゼ (1.14.13.104)
C12Y114/13105	単環式モノテルペンケトンモノオキシゲナーゼ (1.14.13.105)
C12Y114/13106	epi-イソジザエン-5-モノオキシゲナーゼ (1.14.13.106)
C12Y114/13107	リモネン-1,2-モノオキシゲナーゼ (1.14.13.107)
C12Y114/13108	アビエタジエンヒドロキシラーゼ (1.14.13.108)
C12Y114/13109	アビエタジエノールヒドロキシラーゼ (1.14.13.109)
C12Y114/1311	ゲラニルゲラニオール-18-ヒドロキシラーゼ (1.14.13.110)
C12Y114/13111	メタンスルホン酸モノオキシゲナーゼ (1.14.13.111)
C12Y114/13112	3-epi-6-デオキソカタステロン-23-モノオキシゲナーゼ (1.14.13.112)
C12Y114/13113	FAD依存性尿酸ヒドロキシラーゼ (1.14.13.113)
C12Y114/13114	6-ヒドロキシニコチン酸-3-モノオキシゲナーゼ (1.14.13.114)
C12Y114/13115	アンゲリシンシンターゼ (1.14.13.115)
C12Y114/13116	ゲラニルヒドロキノン-3''-ヒドロキシラーゼ (1.14.13.116)
C12Y114/13117	イソロイシン-N-モノオキシゲナーゼ (1.14.13.117)
C12Y114/13118	バリン-N-モノオキシゲナーゼ (1.14.13.118)
C12Y114/13119	5-エピアリストロケン-1,3-ジヒドロキシラーゼ (1.14.13.119)
C12Y114/1312	コスツノリドシンターゼ (1.14.13.120)
C12Y114/13121	プレムナスピロジエンオキシゲナーゼ (1.14.13.121)
C12Y114/13122	クロロフィリドaオキシゲナーゼ (1.14.13.122)
C12Y114/13123	ゲルマクレンAヒドロキシラーゼ (1.14.13.123)
C12Y114/13124	フェニルアラニンNモノオキシゲナーゼ (1.14.13.124)
C12Y114/13125	トリプトファンNモノオキシゲナーゼ (1.14.13.125)
C12Y114/13126	ビタミンD３　２４ヒドロキシラーゼ (1.14.13.126)
C12Y114/13127	３（３ヒドロキシフェニル基）プロパン酸ヒドロキシラーゼ (1.14.13.127)
C12Y114/13128	7メチルキサンチンデメチラーゼ (1.14.13.128)
C12Y114/13129	ベータカロチン３ヒドロキシラーゼ (1.14.13.129)
C12Y114/1313	ピロール２カルボン酸塩モノオキシゲナーゼ (1.14.13.130)
C12Y114/13131	ジメチルスルフィドモノオキシゲナーゼ (1.14.13.131)
C12Y114/13132	スクアレンモノオキシゲナーゼ (1.14.13.132)
C12Y114/13133	ペンタレネンオキシゲナーゼ (1.14.13.133)
C12Y114/13134	ベータアミリン１１オキシダーゼ (1.14.13.134)
C12Y114/13135	１ヒドロキシ２ナフトエヒドロキシラーゼ (1.14.13.135)
C12Y114/13136	イソフラボノイドシンターゼ (1.14.13.136)
C12Y114/13137	
C12Y114/13138	
C12Y114/13139	
C12Y114/1314	
C12Y114/13141	
C12Y114/13142	
C12Y114/13143	
C12Y114/13144	
C12Y114/13145	
C12Y114/13146	
C12Y114/13147	
C12Y114/13148	
C12Y114/13149	
C12Y114/1315	
C12Y114/13151	
C12Y114/13152	
C12Y114/13153	
C12Y114/13154	
C12Y114/13155	
C12Y114/13156	
C12Y114/13157	
C12Y114/13158	
C12Y114/13159	
C12Y114/1316	
C12Y114/13161	
C12Y114/13162	
C12Y114/13163	
C12Y114/13165	
C12Y114/13166	
C12Y114/13167	
C12Y114/13168	
C12Y114/13169	
C12Y114/1317	
C12Y114/13171	
C12Y114/1381	LオルニチンN5モノオキシゲナーゼ (1.14.13.B10)
C12Y114/14	還元型フラビンないしはフラボタンパク質を片方の電子供与体とし、1つの酸素原子を取り込む (1.14.14)
C12Y114/14001	非特異的モノオキシゲナーゼ (1.14.14.1)
C12Y114/14003	アルカナールモノオキシゲナーゼ (FMN結合) (1.14.14.3)
C12Y114/14005	アルカンスルホン酸モノオキシゲナーゼ (1.14.14.5)
C12Y114/14007	トリプトファン-7-ハロゲナーゼ (1.14.14.7)
C12Y114/14008	アントラニル酸-3-モノオキシゲナーゼ (FAD) (1.14.14.8)
C12Y114/14009	４ヒドロキシ酢酸フェニル３モノオキシゲナーゼ (1.14.14.9)
C12Y114/1401	ニトリロトリアセテートモノオキシゲナーゼ (1.14.14.10)
C12Y114/14011	スチレンモノオキシゲナーゼ (1.14.14.11)
C12Y114/14012	３ヒドロキシ９、１０セコアンドロスト１、３、５（１０）トリエン９、１７ディオネモノオキシゲナーゼ (1.14.14.12)
C12Y114/14013	
C12Y114/15	還元型鉄硫黄タンパク質を片方の電子供与体とし、1つの酸素原子を取り込む (1.14.15)
C12Y114/15001	カンファー-5-モノオキシゲナーゼ (1.14.15.1)
C12Y114/15003	アルカン-1-モノオキシゲナーゼ (1.14.15.3)
C12Y114/15004	ステロイド-11β-モノオキシゲナーゼ (1.14.15.4)
C12Y114/15005	コルチコステロン-18-モノオキシゲナーゼ (1.14.15.5)
C12Y114/15006	コレステロールモノオキシゲナーゼ (側鎖開裂) (1.14.15.6)
C12Y114/15007	コリンモノオキシゲナーゼ (1.14.15.7)
C12Y114/15008	ステロイド-15β-モノオキシゲナーゼ (1.14.15.8)
C12Y114/15009	
C12Y114/1501	
C12Y114/15011	
C12Y114/15802	スフェロイデンモノオキシゲナーゼ (1.14.15.B2)
C12Y114/16	還元型プテリジンを片方の電子供与体とし、1つの酸素原子を取り込む (1.14.16)
C12Y114/16001	フェニルアラニン-4-モノオキシゲナーゼ (1.14.16.1)
C12Y114/16002	チロシン-3-モノオキシゲナーゼ (1.14.16.2)
C12Y114/16003	アントラニル酸-3-モノオキシゲナーゼ (1.14.16.3)
C12Y114/16004	トリプトファン-5-モノオキシゲナーゼ (1.14.16.4)
C12Y114/16005	アルキルグリセロールモノオキシゲナーゼ (1.14.16.5)
C12Y114/16006	マンデル酸-4-モノオキシゲナーゼ (1.14.16.6)
C12Y114/17	還元型アスコルビン酸類を片方の電子供与体とし、1つの酸素原子を取り込む (1.14.17)
C12Y114/17001	ドーパミン-β-モノオキシゲナーゼ (1.14.17.1)
C12Y114/17003	ペプチジルグリシンモノオキシゲナーゼ (1.14.17.3)
C12Y114/17004	アミノシクロプロパンカルボン酸オキシダーゼ (1.14.17.4)
C12Y114/18	その他の分子を片方の電子供与体とし、1つの酸素原子を取り込む (1.14.18)
C12Y114/18001	モノフェノールモノオキシゲナーゼ (1.14.18.1)
C12Y114/18002	CMP-N-アセチルノイラミン酸モノオキシゲナーゼ (1.14.18.2)
C12Y114/18003	メタンモノオキシゲナーゼ（特称） (1.14.18.3)
C12Y114/19	2電子酸化により分子状酸素が還元され二分子の水になる (1.14.19)
C12Y114/19001	ステアロイルCoA 9-デサチュラーゼ（Δ9-脂肪酸デサチュラーゼ） (1.14.19.1)
C12Y114/19002	アシル-(アシル輸送タンパク質)デサチュラーゼ (1.14.19.2)
C12Y114/19003	リノレオイルCoAデサチュラーゼ（Δ6-脂肪酸デサチュラーゼ） (1.14.19.3)
C12Y114/19004	Δ8-脂肪酸デサチュラーゼ (1.14.19.4)
C12Y114/19005	Δ11-脂肪酸デサチュラーゼ (1.14.19.5)
C12Y114/19006	Δ12-脂肪酸デサチュラーゼ (1.14.19.6)
C12Y114/19007	ヒドロキシプロピルホス酸エポキシダーゼ (1.14.19.7)
C12Y114/20	2-オキソグルタル酸を片方の電子供与体とし、他方を脱水素化する (1.14.20)
C12Y114/20001	デアセトキシセファロスポリンCシンターゼ (1.14.20.1)
C12Y114/20002	
C12Y114/21	NADHまたはNADPHを片方の電子供与体とし、他方を脱水素化する (1.14.21)
C12Y114/21001	(S)-スチロピンシンターゼ (1.14.21.1)
C12Y114/21002	(S)-ケイランチホリンシンターゼ (1.14.21.2)
C12Y114/21003	ベルバムニンシンターゼ (1.14.21.3)
C12Y114/21004	サルタリジンシンターゼ (1.14.21.4)
C12Y114/21005	(S)-カナジンシンターゼ (1.14.21.5)
C12Y114/21006	ラトステロールオキシダーゼ (1.14.21.6)
C12Y114/21007	ビフラビオリンシンターゼ (1.14.21.7)
C12Y114/21008	プソイドバプチゲニンシンターゼ (1.14.21.8)
C12Y114/99	その他の電子対酸化酵素 (1.14.99)
C12Y114/99001	プロスタグランジンエンドペルオキシドシンターゼ (1.14.99.1)
C12Y114/99002	キヌレニン-7,8-ヒドロキシラーゼ (1.14.99.2)
C12Y114/99003	ヘムオキシゲナーゼ (1.14.99.3)
C12Y114/99004	プロゲステロンモノオキシゲナーゼ (1.14.99.4)
C12Y114/99007	スクアレンモノオキシゲナーゼ (1.14.99.7)
C12Y114/99009	ステロイド-17α-モノオキシゲナーゼ (1.14.99.9)
C12Y114/9901	ステロイド-21-モノオキシゲナーゼ (1.14.99.10)
C12Y114/99011	エストラジオール-6β-モノオキシゲナーゼ (1.14.99.11)
C12Y114/99012	アンドロスタ-4-エン-3,17-ジオンモノオキシゲナーゼ (1.14.99.12)
C12Y114/99014	プロゲステロン-11α-モノオキシゲナーゼ (1.14.99.14)
C12Y114/99015	4-メトキシ安息香酸モノオキシゲナーゼ (O-脱メチル化) (1.14.99.15)
C12Y114/99019	プラズマニルエタノールアミンデサチュラーゼ (1.14.99.19)
C12Y114/9902	フィロキノンモノオキシゲナーゼ (2,3-エポキシ化) (1.14.99.20)
C12Y114/99021	Latia-ルシフェリンモノオキシゲナーゼ (脱メチル化) (1.14.99.21)
C12Y114/99022	エクジソン-20-モノオキシゲナーゼ (1.14.99.22)
C12Y114/99023	3-ヒドロキシ安息香酸-2-モノオキシゲナーゼ (1.14.99.23)
C12Y114/99024	ステロイド-9α-モノオキシゲナーゼ (1.14.99.24)
C12Y114/99026	2-ヒドロキシピリジン-5-モノオキシゲナーゼ (1.14.99.26)
C12Y114/99027	ジュグロン-3-モノオキシゲナーゼ (1.14.99.27)
C12Y114/99029	デオキシヒプシンモノオキシゲナーゼ (1.14.99.29)
C12Y114/99031	ミリストイルCoA-11-(E)-デサチュラーゼ (1.14.99.31)
C12Y114/99032	ミリストイルCoA-11-(Z)-デサチュラーゼ (1.14.99.32)
C12Y114/99033	Δ12-脂肪酸デヒドロゲナーゼ (1.14.99.33)
C12Y114/99034	モノプレニルイソフラボンエポキシダーゼ (1.14.99.34)
C12Y114/99035	チオフェン-2-カルボニルCoAモノオキシゲナーゼ (1.14.99.35)
C12Y114/99036	β-カロテン-15,15'-モノオキシゲナーゼ (1.14.99.36)
C12Y114/99037	タキサジエン-5α-ヒドロキシラーゼ (1.14.99.37)
C12Y114/99038	コレステロール-25-ヒドロキシラーゼ (1.14.99.38)
C12Y114/99039	アンモニアモノオキシゲナーゼ (1.14.99.39)
C12Y114/9904	5,6-ジメチルベンズイミダゾールシンターゼ (1.14.99.40)
C12Y114/99041	all-trans-8'-apo-β-カロテナール-15,15'-オキシゲナーゼ (1.14.99.41)
C12Y114/99042	ゼアキサンチン７、８ジオキシゲナーゼ (1.14.99.42)
C12Y114/99043	ベータアミリン２４ヒドロキシラーゼ (1.14.99.43)
C12Y114/99044	ジアポリコピンオキシゲナーゼ (1.14.99.44)
C12Y114/99045	カロチンエプシロンモノオキシゲナーゼ (1.14.99.45)
C12Y114/99046	
C12Y114/99047	
C12Y115/00	超酸化物を電子受容体とする (1.15)
C12Y115/01	NADまたはＮＡＤＰを電子受容体とする (1.15.1)
C12Y115/01001	スーパーオキシドディスムターゼ (1.15.1.1)
C12Y115/01002	スーパーオキシドレダクターゼ (1.15.1.2)
C12Y116/00	金属イオンを酸化する (1.16)
C12Y116/01	NADHまたはNADPHを電子供与体とする (1.16.1)
C12Y116/01001	水銀(II)レダクターゼ (1.16.1.1)
C12Y116/01002	二鉄トランスフェリンレダクターゼ (1.16.1.2)
C12Y116/01003	アクアコバラミンレダクターゼ (1.16.1.3)
C12Y116/01004	コバラミン(II)レダクターゼ (1.16.1.4)
C12Y116/01005	アクアコバラミンレダクターゼ (NADPH) (1.16.1.5)
C12Y116/01006	シアノコバラミンレダクターゼ (シアニド除去) (1.16.1.6)
C12Y116/01007	鉄キレートレダクターゼ (1.16.1.7)
C12Y116/01008	(メチオニンシンターゼ)レダクターゼ (1.16.1.8)
C12Y116/01009	鉄キレートレダクターゼ (1.16.1.9)
C12Y116/03	酸素を電子受容体とする (1.16.3)
C12Y116/03001	フェロキシダーゼ (1.16.3.1)
C12Y116/05	キノンまたは類似の化合物を電子受容体とする (1.16.5)
C12Y116/05001	アスコルピン酸塩フェリ還元酵素（膜貫通） (1.16.5.1)
C12Y116/08	フラビンを電子受容体とする (1.16.8)
C12Y116/08001	コビリン酸(II)-a,c-ジアミドレダクターゼ (1.16.8.1)
C12Y116/09	銅タンパク質を電子受容体とする (1.16.9)
C12Y116/09001	鉄：ルスチシアニンレダクターゼ (1.16.9.1)
C12Y116/98	その他、未知な電子受容体を用いる (1.16.98)
C12Y117/00	メチン基、メチレン基に作用する (1.17)
C12Y117/01	NADまたはNADPを電子受容体とする (1.17.1)
C12Y117/01001	CDP-4-デヒドロ-6-デオキシグルコースレダクターゼ (1.17.1.1)
C12Y117/01002	4-ヒドロキシ-3-メチル-2-ブテニル二リン酸レダクターゼ (1.17.1.2)
C12Y117/01003	ロイコアントシアニジンレダクターゼ (1.17.1.3)
C12Y117/01004	キサンチンデヒドロゲナーゼ (1.17.1.4)
C12Y117/01005	ニコチン酸デヒドロゲナーゼ (1.17.1.5)
C12Y117/01007	3-オキソ-5,6-デヒドロスベロイル-CoAセミアルデヒドデヒドロゲナーゼ (1.17.1.7)
C12Y117/02	シトクロムを電子受容体とする (1.17.2)
C12Y117/02001	ニコチン酸デヒドロゲナーゼ (シトクロム) (1.17.2.1)
C12Y117/02002	
C12Y117/03	酸素を電子受容体とする (1.17.3)
C12Y117/03001	プテリジンオキシダーゼ (1.17.3.1)
C12Y117/03002	キサンチンオキシダーゼ (1.17.3.2)
C12Y117/03003	6-ヒドロキシニコチン酸デヒドロゲナーゼ (1.17.3.3)
