C25D1/00	電鋳
C25D17/04	外部支持枠または構造物
C25D17/06	被覆物品の懸垂または支持装置
C25D17/08	ラック
C25D17/10	電極
C25D17/12	形状または型（Ｃ２５Ｄ１７／１４が優先）
C25D17/14	パッド鍍金用
C25D17/16	ばらの小形物品の電解被覆用装置
C25D17/18	密閉容器を有するもの
C25D17/20	水平バレル
C25D17/22	開放容器を有するもの
C25D17/24	斜めバレル
C25D17/26	振動かご
C25D17/28	処理の間，装置中を個々に物品を移送する手段を備えたもの
C25D21/00	電解被覆用槽の保守または操作方法
C25D21/02	加熱または冷却
C25D21/04	ガスまたは蒸気の除去
C25D21/06	ろ過
C25D21/08	水洗
C25D21/10	電解液の攪拌；ラックの揺動
C25D21/11	電解浴上の保護表層の使用
C25D21/12	プロセス制御または調整（制御または調整一般Ｇ０５）
C25D21/14	電解液成分の添加制御
C25D21/16	処理液の再生
C25D21/18	電解液（Ｃ２５Ｄ２１／２２が優先）
C25D21/20	洗浄溶液（Ｃ２５Ｄ２１／２２が優先）
C25D21/22	イオン交換による
